metric	count	total	note
complete_command_matrices	0	151	only commands whose full behavior matrix is finished
complete_doc_option_pairs	0	4632	documented command-option pairs whose full behavior matrix is finished
commands_with_matrix_rows	154	151	commands with any written behavior rows
doc_option_pairs_represented_by_rows	1341	4632	documented command-option pairs with at least one behavior row
behavior_rows_written	4219	4219	current written command option value combination state transport platform rows
written_rows_matching_stock_git	3632	4219	closed written rows only
behavior_rows_partial	0	4219	written rows with incomplete parity
behavior_rows_open	21	4219	written rows not implemented or not matching yet
invalid_input_rows	566	4219	rows where stock Git rejects the input

command	doc_option_pairs	complete_doc_option_pairs	represented_doc_option_pairs	represented_doc_option_pairs_pct	behavior_rows_written	written_rows_matching_stock_git	written_rows_matching_stock_git_pct_of_written	partial	open	invalid_input	complete_matrix
prune-packed	4	0	4	100.0	13	9	69.2	0	0	4	no
pull	121	0	5	4.1	15	15	100.0	0	0	0	no
push	57	0	4	7.0	10	9	90.0	0	0	1	no
quiltimport	7	0	5	71.4	5	5	100.0	0	0	0	no
range-diff	15	0	1	6.7	8	6	75.0	0	0	2	no
read-tree	22	0	3	13.6	5	5	100.0	0	0	0	no
rebase	103	0	5	4.9	6	2	33.3	0	0	4	no
receive-pack	4	0	0	0.0	3	3	100.0	0	0	0	no
reflog	13	0	0	0.0	16	14	87.5	0	0	2	no
refs	4	0	2	50.0	3	3	100.0	0	0	0	no
remote	23	0	2	8.7	34	27	79.4	0	0	7	no
repack	40	0	20	50.0	23	23	100.0	0	0	0	no
replace	13	0	11	84.6	19	19	100.0	0	0	0	no
replay	160	0	3	1.9	5	4	80.0	0	0	1	no
request-pull	1	0	1	100.0	6	5	83.3	0	0	1	no
rerere	7	0	0	0.0	4	3	75.0	0	0	1	no
reset	27	0	3	11.1	5	0	0.0	0	0	5	no
restore	28	0	6	21.4	14	14	100.0	0	0	0	no
rev-list	165	0	13	7.9	31	31	100.0	0	0	0	no
rev-parse	72	0	25	34.7	78	71	91.0	0	0	7	no
revert	27	0	6	22.2	7	5	71.4	0	0	2	no
rm	20	0	20	100.0	50	41	82.0	0	0	9	no
send-email	70	0	2	2.9	17	16	94.1	0	0	1	no
send-pack	15	0	9	60.0	15	14	93.3	0	0	1	no
sh-i18n	0	0	0	0.0	1	1	100.0	0	0	0	no
sh-setup	0	0	0	0.0	1	1	100.0	0	0	0	no
shell	4	0	1	25.0	5	2	40.0	0	0	3	no
shortlog	164	0	9	5.5	11	11	100.0	0	0	0	no
show	143	0	16	11.2	38	38	100.0	0	0	0	no
show-branch	21	0	7	33.3	10	10	100.0	0	0	0	no
show-index	1	0	1	100.0	8	5	62.5	0	0	3	no
show-ref	14	0	13	92.9	26	23	88.5	0	0	3	no
sparse-checkout	11	0	0	0.0	9	4	44.4	0	0	5	no
stage	0	0	0	0.0	84	80	95.2	0	0	4	no
stash	30	0	0	0.0	208	191	91.8	0	0	17	no
status	26	0	26	100.0	139	126	90.6	0	0	13	no
stripspace	5	0	5	100.0	14	9	64.3	0	0	5	no
submodule	35	0	0	0.0	8	1	12.5	0	0	7	no
svn	95	0	0	0.0	1	1	100.0	0	0	0	no
switch	25	0	7	28.0	8	8	100.0	0	0	0	no
symbolic-ref	8	0	4	50.0	13	12	92.3	0	0	1	no
tag	40	0	21	52.5	40	30	75.0	0	0	10	no
unpack-file	0	0	0	0.0	4	2	50.0	0	0	2	no
unpack-objects	5	0	4	80.0	9	9	100.0	0	0	0	no
update-index	53	0	16	30.2	38	32	84.2	0	0	6	no
update-ref	6	0	6	100.0	15	15	100.0	0	0	0	no
update-server-info	2	0	2	100.0	10	7	70.0	0	0	3	no
upload-archive	1	0	0	0.0	1	1	100.0	0	0	0	no
upload-pack	9	0	5	55.6	7	7	100.0	0	0	0	no
var	3	0	3	100.0	21	10	47.6	0	0	11	no
verify-commit	4	0	4	100.0	9	7	77.8	0	0	2	no
verify-pack	4	0	4	100.0	22	15	68.2	0	0	7	no
verify-tag	4	0	4	100.0	9	9	100.0	0	0	0	no
version	2	0	2	100.0	4	2	50.0	0	0	2	no
whatchanged	2	0	2	100.0	29	29	100.0	0	0	0	no
worktree	28	0	0	0.0	2	1	50.0	0	0	1	no
write-tree	2	0	2	100.0	29	19	65.5	0	0	10	no
